ID	Preference	Description
623	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
624	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
625	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
626	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
627	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
628	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
629	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
630	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
631	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
632	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
633	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
634	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
635	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
636	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
637	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
638	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
639	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
640	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
641	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
642	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
643	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
644	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
645	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
646	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
647	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
648	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
649	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
650	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
651	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
652	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
653	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
654	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
655	visual	When trying to remember someone’s telephone number, or something new, it helps me to get a picture of it in my mind
656	visual	If I am taking a test, I can see the textbook page and where the answer is located
657	visual	If I am taking a test, I can see the textbook page and where the answer is located
658	visual	If I am taking a test, I can see the textbook page and where the answer is located
659	visual	If I am taking a test, I can see the textbook page and where the answer is located
660	visual	If I am taking a test, I can see the textbook page and where the answer is located
661	visual	If I am taking a test, I can see the textbook page and where the answer is located
662	visual	If I am taking a test, I can see the textbook page and where the answer is located
663	visual	If I am taking a test, I can see the textbook page and where the answer is located
664	visual	If I am taking a test, I can see the textbook page and where the answer is located
665	visual	If I am taking a test, I can see the textbook page and where the answer is located
666	visual	If I am taking a test, I can see the textbook page and where the answer is located
667	visual	If I am taking a test, I can see the textbook page and where the answer is located
668	visual	If I am taking a test, I can see the textbook page and where the answer is located
